X,Y,Name,description,ADDRESSBLOCKHOUSENUMBER,LATITUDE,STATUS,CLEANINGSTARTDATE,ADDRESSUNITNUMBER,ADDRESSFLOORNUMBER,NO_OF_FOOD_STALLS,HYPERLINK,REGION,LONGITUDE,INFO_ON_CO_LOCATORS,NO_OF_MARKET_STALLS,AWARDED_DATE,LANDYADDRESSPOINT,CLEANINGENDDATE,PHOTOURL,DESCRIPTION2,NAME2,ADDRESSTYPE,UPGRADING_STATUS,ADDRESSBUILDINGNAME,COMPLETION_DATE,LANDXADDRESSPOINT,ADDRESSSTREETNAME,ADDRESSPOSTALCODE,DESCRIPTION_MYENV,IMPLEMENTATION_DATE,ADDRESS_MYENV,INC_CRC,FMEL_UPD_D
103.882977999397,1.37542896666561,Ci Yuan Hawker Centre,New Centre,51,1.3749377,Existing (new),2/9/2019,,,40,,North,103.8829472,hawker centre/community club/family medicine clinic/senior care centre,0,,39713.520000000004,2/9/2019,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/ci-yuan-hawker-centre.jpg,,,,,,2015,33526.48,Hougang Avenue 9,538776,"Built in 2015, Ci Yuan hawker centre is the first to be built since 1985. The hawker centre is located at the 1st storey of Ci Yuan Community Club and comprises of 40 cooked food stalls.  All the stalls are selling different food items and serving at least two items priced at $2.80 or below to ensure food price affordability. Ci Yuan hawker centre also has new facilities to accommodate the needs of different users to create a more pleasant dining experience for all.  These include family-friendly facilities such as child-friendly seating, point-of-sale system and self-payment kiosks.  For more information, please refer to: http://ciyuanhawker.com.sg/",,"51 Hougang Avenue 9, Singapore 538776",2AA90E9C1246F8A3,20190821083118
103.759166093858,1.31188972115897,West Coast Drive Blk 502 (Ayer Rajah Market),Not eligible for HUP,502,1.3119599800000001,Existing,24/9/2019,,,0,,West,103.7591019,,68,,32687.74,24/9/2019,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265168297394.jpg,,,I,Completed,,,19747.53,West Coast Drive,120502,"Also known as Ayer Rajah Market, the standalone market is located next to Ayer Rajah Food Centre. One of the last few hawker centres built, construction was completed in 1995 to complement Ayer Rajah Food Centre. There are 68 market stalls at the market to serve the West Coast area.",,"Blk 502, West Coast Drive, Singapore 120502",2DBB0A9FF06FDAA2,20190906090220
103.759751321019,1.31180301004196,West Coast Drive Blk 503 (Ayer Rajah Food Centre),HUP Standard Upgrading,503,1.31186998,Existing,24/9/2019,,,80,,West,103.7598038,,0,,32678.15,25/9/2019,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265168322420.jpg,,,I,Completed,,15/12/2002,19812.66,West Coast Drive,120503,"Also known as Ayer Rajah Food Centre, the standalone food centre was originally built in 1979.  The centre is located next to Ayer Rajah Market and currently houses 80 cooked food stalls to serve the West Coast area.",,"Blk 503, West Coast Drive, Singapore 120503",7A2798344B6AD8F0,20190906090220
103.93553909635,1.32055216480957,Bedok South Road Blk 16,HUP Standard Upgrading,16,1.32055998,Existing,10/6/2019,,,64,,East,103.9355469,,154,,33645.7,10/6/2019,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267853021378.jpg,,,I,<R&R> 02/09/2019 to 13/10/2019,,20/9/2012,39376.14,Bedok South Road,460016,"Located near schools, factories and housing estates in the Bedok South area, this hawker centre is an accessible hotspot for patrons looking for an economical meal.",,"Blk 16, Bedok South Road, Singapore 460016",483F3877E1D079FE,20190902094919
103.951543034782,1.37343413973246,Pasir Ris Central Hawker Centre,New Centre,110,1.373318,Existing (new),19/8/2019,,,42,,East,103.951364,,0,15/7/2015,39493.21,20/8/2019,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/pasir-ris-central-hawker-centre.jpg,,,,,Pasir Ris Central Hawker Centre,2017,41156.94,Pasir Ris Central,519641,"Completed in Jan 2018, Pasir Ris Central Hawker Centre is a centre which houses 42 cooked food stalls across two levels. On the ground floor, 20 cooked food stalls will serve a variety of local hawker fare, while on the upper floor there will be 22 cooked food stalls serving modern cuisines. Along with a family dining area with child-friendly tables and chairs, and handicap friendly access, this centre also offers cashless payments.",29/7/2015,"Blk 110, Pasir Ris Central, Singapore 519641",0EC198F94A578B81,20190719092119
103.944624481151,1.3456395210229,Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),HUP Reconfiguration,137,1.34559596,Existing,16/9/2019,,,45,,East,103.9445953,,99,,36419.78,18/9/2019,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154543785.jpg,,,I,Completed,,8/1/2006,40387.13,Tampines Street 11,521137,"Blk 137 Tampines Street 11 is the only hawker centre in the Tampines area. Also commonly known as Tampines Round Market due to the unique circular shape of the hawker centre, it was built in 1982 to fulfill the marketing and dining needs of the resident in Tampines Town. Comprises 45 cooked food stalls and 99 market stalls. The hawker centre was voted by readers of Shin Min Daily as their favourite hawker centre for 2 years running (2008-2009) in the City Hawker Food Hunt contest.",,"Blk 137, Tampines Street 11, Singapore 521137",F6017D5F10A37FDB,20190719092119
103.852941556275,1.33603882157063,Toa Payoh Lorong 5 Blk 75,HUP Standard Upgrading,75,1.33609998,Existing,26/8/2019,,,36,,Central,103.8529968,,0,,35357.91,26/8/2019,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267878144152.jpg,,,I,Completed,,21/11/2012,30183.83,Lorong 5 Toa Payoh,310075,"Built in 1968, this standalone food centre at Blk 75 Lorong 5 Toa Payoh comprises 36 cooked food stalls.",,"Blk 75, Lorong 5 Toa Payoh, Singapore 310075",83FB95F6DDC666BA,20190719092119
103.831189303546,1.29234216757957,Zion Riverside Food Centre,HUP Standard Upgrading,70,1.29234004,Existing,18/8/2019,,,32,,Central,103.8311844,,0,,30526.15,19/8/2019,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267879560483.jpg,,,I,Completed,,5/3/2003,27763.03,Zion Road,247792,"Located opposite Great World City, Zion Riverside Food Centre boasts a huge reputation even with its relatively small footprint of 32 cooked food stalls. Built since 1976, patrons can find a variety of good food offerings at the centre. Popular with both locals and tourists alike.",,"70, Zion Road, Singapore 247792",41709ABEB96A97F3,20190719092119
103.872090241567,1.3397961360031,Woodleigh Village Hawker Centre,New Centre,202C,0,Under Construction,#N/A,,,0,,,0,hawker centre/flats/bus interchange,0,30/6/2017,35773.4,#N/A,,,,,#N/A,Woodleigh Village,2021,32314.87,Woodleigh Link,363202,,21/7/2017,,7729E118B3185135,20181121162016
103.832348785334,1.28508825756818,Tiong Bahru Market,HUP Rebuilding,30,1.28468299,Existing,2/9/2019,,,83,,West,103.832428,,259,,29724.05,2/9/2019,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156378375.jpg,,,I,Completed,,10/2/2006,27892.07,Seng Poh Road,168898,"Located in one of the oldest and most charming neighbourhoods, Tiong Bahru Market was built in 1950 as a single-storey centre.  The centre merged with Blk 84 and 84A Lim Liak Street during the upgrading in 2006, and was converted into a three-storey building: market stalls on the ground floor, cooked food stalls on the second floor and a carpark on the third. It is the fourth largest hawker centre in Singapore with 259 market stalls and 83 cooked food stalls! Well-known for the many popular stalls within the centre.",,"30, Seng Poh Road, Singapore 168898",0FAB58D094BB9CBF,20190807094420
103.844731621961,1.33809268551386,Toa Payoh Lorong 1 Blk 127 (Toa Payoh West Market and Food Court),HUP Reconfiguration,127,1.33816004,Existing,9/9/2019,,,40,,Central,103.8447876,,108,,35585.01,9/9/2019,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154499803.jpg,,,I,Completed,,11/12/2003,29270.15,Lorong 1 Toa Payoh,310127,"Built in 1969, the two-storey hawker centre comprises 40 cooked food stalls and 108 market stalls. Well-known for hawker fare such as Chicken Rice, Hokkien Mee etc, the hawker centre serves both the dining and marketing needs of Toa Payoh residents.",,"Blk 127, Lorong 1 Toa Payoh, Singapore 310127",ED2DB7B798C47AD2,20190807094420
103.822399230842,1.44921660555282,Bukit Canberra Hawker Centre,New Centre,,0,Under Construction,,,,0,,,0,hawker centre/Town Sports and Recreational Centre/Primary Care Centre & Senior Care Centre,0,1/5/2018,47872.53,,,,,,,,2020,26784.850000000002,,,,17/5/2018,,DA1BB82497784F0A,20181121162016
103.888489618777,1.39691417603694,Anchorvale Village Hawker Centre,New Centre,339,0,Under Construction,,,,0,,,0,hawker centre/supermarket/shops/flats,0,27/4/2018,42089.26,,,,,,,Anchorvale Village,2021,34139.8,Anchorvale Road,,,28/5/2018,,F50A43DB0E4C3026,20181121162016
103.877060478847,1.39159232727757,Fernvale Hawker Centre,New Centre,,0,Under Construction,,,,0,,,0,hawker centre/community club,0,30/7/2018,41500.770000000004,,,,,,,,2020,32867.9,,,,13/8/2018,,E3AB7D1711E53B2E,20181121162016
103.904805657576,1.40818996870647,Punggol Town Hub Hawker Centre,New Centre,,0,Under Construction,,,,0,,,0,hawker centre/Regional Library/Senior Care Centre/Branch Office/Child Development Centre/Blood Collection Centre/Kidney Dialysis Centre/Childcare Centre,0,8/8/2018,43336.13,,,,,,,,2021,35955.520000000004,,,,29/8/2018,,4780858D16239BFB,20181121162016
103.843166992138,1.27661461066321,Tanjong Pagar Plaza Blk 6 (Blk 6 Tanjong Pagar Plaza Market and Food Centre),HUP Standard Upgrading,6,1.2766799899999999,Existing,16/3/2019,,,52,,Central,103.8432312,,108,,28787.08,16/3/2019,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/blk-6-tanjong-pagar-plaza.jpg,,,I,Completed,,27/12/2013,29096.05,Tanjong Pagar Plaza,081006,"Located near the Tanjong Pagar Plaza, the hawker centre serves some of the locals' favourite dishes such as Hainanese Chicken Rice, Curry Fish Head and Seafood Soup. Built in 1977, the centre has 52 cooked food stalls and 108 market stalls to serve the needs of the patrons.",,"Blk 6, Tanjong Pagar Plaza, Singapore 081006",90C2DF398FC99DC6,20190807094420
103.839953165937,1.36723014879667,Ang Mo Kio Street 22 Blk 226H (Kebun Baru Food Centre),HUP Reconfiguration,226H,1.36726606,Existing,9/9/2019,,,29,,North,103.8399429,,0,,38806.88,9/9/2019,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1259901689557.jpg,,,I,Completed,,13/12/2003,28738.350000000002,Ang Mo Kio Street 22,568226,"Commonly known as Kebun Bahru Food Centre, the food centre was built in 1976 to serve the dining needs of Kebun Baru residents. Comprises 29 cooked food stalls.",,"Blk 226H, Ang Mo Kio Street 22, Singapore 568226",69908CB74E566496,20190807094420
103.955474150677,1.32035600765426,Bedok Food Centre,HUP Rebuilding,1,1.32035303,Existing,9/9/2019,,,32,,East,103.9554749,,0,,33624.11,9/9/2019,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265176030572.jpg,,,I,Completed,,6/2/2005,41594.72,Bedok Road,469572,"Located at the corner of Upper East Coast Road, Bedok Food Centre is a favourite haunt for residents in the vicinity and army personnel from nearby barracks. Upgraded in 2005, the fa?ade resembles that of an old Malay ""kampong"" house. Famous for hawker fare such as Hokkien Mee, Desserts, Malay Dishes and more, the hawker centre houses 32 cooked food stalls.",,"1, Bedok Road, Singapore 469572",5074BAFFFCB87DA1,20190807094420
